depth_m,speed_mps,cweight_kg,whp_barg,temp_degC,pressure_bara,frequency_hz,datetime,timedelta_sec
413.38437,-1.5194341,94.65647,-0.3575027,31.426203,2.4540985,14.4622135,2020-12-11 16:09:14.976,24150.528
412.88168,-1.5201668,93.92847,-0.3570184,31.333384,2.4163928,13.540679,2020-12-11 16:09:14.976,24150.528
412.68497,-1.5214742,92.57133,-0.3568247,31.232834,2.3797646,14.058421,2020-12-11 16:09:14.976,24150.528
412.30612,-1.5214742,94.88788,-0.3570184,31.080725,2.3431363,13.970004,2020-12-11 16:09:15.840,24151.392
411.9236,-1.5226847,93.44762,-0.35779327,30.91058,2.3075852,14.478915,2020-12-11 16:09:15.840,24151.392
411.54477,-1.5221229,94.0071,-0.3570184,30.753332,2.2698796,14.259618,2020-12-11 16:09:15.840,24151.392
411.16226,-1.5229412,93.816124,-0.3570184,30.590939,2.2343285,13.850325,2020-12-11 16:09:15.840,24151.392
410.74335,-1.5146356,90.825485,-0.35692155,30.428553,2.1966228,14.078749,2020-12-11 16:09:16.704,24152.256
410.34265,-1.4828023,82.10972,-0.3563404,30.273909,2.1589172,14.068668,2020-12-11 16:09:16.704,24152.256
410.19693,-1.4631857,86.875404,-0.35595298,30.119272,2.1255207,10.792105,2020-12-11 16:09:16.704,24152.256
409.95285,-1.4182638,86.405785,-0.35653412,29.938871,2.0953562,8.694295,2020-12-11 16:09:17.568,24153.12
409.79987,-1.3417664,73.60291,-0.3568247,29.822906,2.0630372,8.383151,2020-12-11 16:09:17.568,24153.12
409.73428,-1.2587327,77.08339,-0.35711527,29.717253,2.041491,5.908753,2020-12-11 16:09:17.568,24153.12
409.73795,-1.1359574,72.63674,-0.3575027,29.634794,2.026409,,2020-12-11 16:09:18.432,24153.984
409.73795,-0.9823405,88.17413,-0.35711527,29.578104,2.0102494,,2020-12-11 16:09:18.432,24153.984
412.79425,0.90677583,81.27159,-0.35508126,29.590988,2.2160144,-15.542913,2020-12-11 16:09:33.120,24168.672
413.1986,1.0061675,77.05416,-0.35323948,29.645102,2.2407923,-14.698745,2020-12-11 16:09:33.120,24168.672
413.36252,1.016386,78.45624,-0.35353154,29.743021,2.2688022,-15.580102,2020-12-11 16:09:33.120,24168.672
413.7013,1.0964762,79.49882,-0.35333782,29.864138,2.3011212,-15.890992,2020-12-11 16:09:33.120,24168.672
414.0328,1.1414083,77.23839,-0.3541112,30.03938,2.331286,-15.758424,2020-12-11 16:09:33.984,24169.536
414.36792,1.1802572,81.97489,-0.35420805,30.235249,2.3614504,-17.042978,2020-12-11 16:09:33.984,24169.536
414.70306,1.1925894,80.59305,-0.35469234,30.395046,2.3948467,-16.451494,2020-12-11 16:09:33.984,24169.536
415.0455,1.2052438,77.687775,-0.3549844,30.529076,2.4250114,-15.7618,2020-12-11 16:09:34.848,24170.4
415.4462,1.272583,79.64258,-0.35517663,30.660536,2.459485,-17.119772,2020-12-11 16:09:34.848,24170.4
415.90155,1.3013344,78.41802,-0.35517663,30.792,2.4918041,-17.183653,2020-12-11 16:09:34.848,24170.4
416.10553,1.3199056,77.83834,-0.35517663,30.91058,2.5241232,-17.703852,2020-12-11 16:09:34.848,24170.4
416.4662,1.3417664,83.47134,-0.35459548,30.99823,2.558597,-18.260607,2020-12-11 16:09:35.712,24171.264
416.8341,1.3517597,79.48082,-0.35440326,31.12713,2.5952253,-17.700415,2020-12-11 16:09:35.712,24171.264
417.19473,1.3708667,79.34825,-0.35556555,31.261194,2.6264672,-18.01314,2020-12-11 16:09:35.712,24171.264
417.55902,1.394187,83.63985,-0.35450011,31.384949,2.66525,-18.8508,2020-12-11 16:09:36.576,24172.128
417.9816,1.4079947,79.12579,-0.3554687,31.47777,2.6986465,-17.337212,2020-12-11 16:09:36.576,24172.128
418.4588,1.4185882,83.11407,-0.3549844,31.526758,2.7341976,-18.24648,2020-12-11 16:09:36.576,24172.128
418.64822,1.426768,79.65382,-0.35537183,31.55512,2.7719033,-17.880754,2020-12-11 16:09:36.576,24172.128
419.01614,1.4376932,79.098854,-0.35517663,31.570593,2.8042223,-17.999592,2020-12-11 16:09:37.440,24172.992
419.37677,1.4437561,81.74121,-0.3554687,31.562857,2.841928,-18.730734,2020-12-11 16:09:37.440,24172.992
419.7447,1.445904,80.725624,-0.35527498,31.534494,2.8764017,-17.826357,2020-12-11 16:09:37.440,24172.992
420.10535,1.4514483,80.44476,-0.35450011,31.47777,2.9108753,-17.804546,2020-12-11 16:09:38.304,24173.856
420.52426,1.4535302,79.9819,-0.35459548,31.41589,2.9475038,-18.138897,2020-12-11 16:09:38.304,24173.856
420.99054,1.4547759,80.633514,-0.35450011,31.392685,2.9819775,-17.529804,2020-12-11 16:09:38.304,24173.856
421.1909,1.4522604,81.3997,-0.35420805,31.348854,3.0186057,-17.909441,2020-12-11 16:09:39.168,24174.72
421.55518,1.4534811,82.37934,-0.35488755,31.317915,3.0541568,-17.834587,2020-12-11 16:09:39.168,24174.72
421.9158,1.4522604,80.60204,-0.35401583,31.302444,3.0886307,-17.633387,2020-12-11 16:09:39.168,24174.72
422.2655,1.4526179,80.74133,-0.35440326,31.284397,3.1241815,-17.914919,2020-12-11 16:09:39.168,24174.72
422.6298,1.4525604,81.45811,-0.35353154,31.268929,3.16081,-17.692963,2020-12-11 16:09:40.032,24175.584
423.0633,1.4523256,81.08513,-0.3524661,31.23799,3.1942065,-17.833773,2020-12-11 16:09:40.032,24175.584
423.5332,1.4524307,81.5637,-0.35372376,31.204473,3.2308347,-18.082724,2020-12-11 16:09:40.032,24175.584
423.72263,1.4526179,81.3727,-0.35450011,31.155489,3.2653084,-18.048838,2020-12-11 16:09:40.896,24176.448
424.10513,1.4534811,81.12783,-0.3543064,31.103928,3.3008595,-18.318575,2020-12-11 16:09:40.896,24176.448
424.47305,1.4559021,81.8019,-0.35508126,31.052368,3.3364105,-18.282642,2020-12-11 16:09:40.896,24176.448
424.8446,1.4582331,80.725624,-0.3547907,31.01112,3.3741162,-18.02988,2020-12-11 16:09:40.896,24176.448
425.2016,1.461668,81.06714,-0.35517663,30.982761,3.4085898,-18.483124,2020-12-11 16:09:41.760,24177.312
425.58774,1.4656168,82.48721,-0.3554687,30.977606,3.445218,-18.4358,2020-12-11 16:09:41.760,24177.312
426.02124,1.4691001,80.86491,-0.35420805,30.995651,3.4807692,-18.013975,2020-12-11 16:09:41.760,24177.312
426.49844,1.4735183,82.246765,-0.35488755,31.0369,3.5173976,-18.50794,2020-12-11 16:09:42.624,24178.176
426.7061,1.4752765,81.73673,-0.35537183,31.10135,3.554026,-18.471272,2020-12-11 16:09:42.624,24178.176
427.0813,1.4789062,80.54587,-0.35527498,31.189005,3.589577,-18.312674,2020-12-11 16:09:42.624,24178.176
427.45648,1.48058,82.41081,-0.3543064,31.315336,3.625128,-18.692026,2020-12-11 16:09:42.624,24178.176
427.81348,1.4844322,82.39057,-0.3538221,31.464878,3.6628337,-18.657597,2020-12-11 16:09:43.488,24179.04
428.20328,1.4885887,80.86943,-0.3543064,31.606691,3.6983845,-18.279844,2020-12-11 16:09:43.488,24179.04
428.63312,1.4894687,82.253525,-0.35401583,31.779453,3.735013,-18.983625,2020-12-11 16:09:43.488,24179.04
429.11395,1.4922508,81.5098,-0.35401583,31.980595,3.7727187,-18.852108,2020-12-11 16:09:44.352,24179.904
429.30704,1.4919705,81.7592,-0.35459548,32.230747,3.8071923,-18.52178,2020-12-11 16:09:44.352,24179.904
429.6786,1.49233,82.7119,-0.3538221,32.509296,3.844898,-18.809223,2020-12-11 16:09:44.352,24179.904
430.0538,1.4929856,81.96142,-0.35314262,32.72338,3.880449,-18.239235,2020-12-11 16:09:44.352,24179.904
430.43994,1.4929856,82.10295,-0.35488755,32.932323,3.9181547,-18.403732,2020-12-11 16:09:45.216,24180.768
430.79694,1.4924049,81.6828,-0.35323948,33.24705,3.9537058,-18.59007,2020-12-11 16:09:45.216,24180.768
431.245,1.4930625,81.85355,-0.3529504,33.530853,3.990334,-18.742247,2020-12-11 16:09:45.216,24180.768
431.7222,1.4922508,82.87143,-0.35314262,33.72953,4.025885,-19.287647,2020-12-11 16:09:46.080,24181.632
431.9335,1.4923401,81.145775,-0.35343468,33.853386,4.0635905,-17.97662,2020-12-11 16:09:46.080,24181.632
432.2905,1.4923401,83.19047,-0.35285354,33.925636,4.0991416,-18.733694,2020-12-11 16:09:46.080,24181.632
432.66568,1.4929856,82.21982,-0.35323948,33.98499,4.1379247,-18.597126,2020-12-11 16:09:46.080,24181.632
433.03726,1.4919705,82.8939,-0.3524661,34.010796,4.171321,-18.715328,2020-12-11 16:09:46.944,24182.496
433.42703,1.4934313,82.06925,-0.35120547,34.023697,4.209027,-18.287502,2020-12-11 16:09:46.944,24182.496
433.80225,1.4934249,83.76567,-0.35188496,33.99273,4.245655,-18.666874,2020-12-11 16:09:46.944,24182.496
434.2321,1.49295,82.318695,-0.35236925,33.964344,4.2833605,-18.34244,2020-12-11 16:09:47.808,24183.36
434.71295,1.4933171,81.43788,-0.35101175,33.925636,4.316757,-18.546019,2020-12-11 16:09:47.808,24183.36
434.9206,1.4935507,82.0176,-0.35072118,33.89725,4.3544626,-18.227877,2020-12-11 16:09:47.808,24183.36
435.2776,1.4935507,85.799126,-0.3511086,33.86371,4.3900137,-18.677208,2020-12-11 16:09:48.672,24184.224
435.65277,1.4941031,83.51403,-0.35033375,33.835323,4.4277196,-18.432808,2020-12-11 16:09:48.672,24184.224
436.02798,1.4946842,83.8533,-0.35265833,33.801777,4.4632707,-18.453508,2020-12-11 16:09:48.672,24184.224
436.4032,1.495527,81.18172,-0.35285354,33.755333,4.500976,-18.05949,2020-12-11 16:09:48.672,24184.224
436.84763,1.4941406,83.90276,-0.35265833,33.73211,4.53545,-18.848064,2020-12-11 16:09:49.536,24185.088
437.32846,1.4944811,80.88515,-0.35314262,33.698566,4.5731554,-17.954456,2020-12-11 16:09:49.536,24185.088
437.52518,1.4959717,83.585915,-0.3527552,33.6547,4.6087065,-18.491493,2020-12-11 16:09:49.536,24185.088
437.91132,1.4947611,84.1881,-0.35450011,33.62116,4.6485667,-18.459404,2020-12-11 16:09:50.400,24185.952
438.27194,1.4953425,80.36612,-0.3536269,33.564396,4.680886,-17.938507,2020-12-11 16:09:50.400,24185.952
438.64716,1.4953425,83.574684,-0.35488755,33.52827,4.719669,-19.01501,2020-12-11 16:09:50.400,24185.952
439.0333,1.4957036,83.79042,-0.35459548,33.48699,4.75522,-18.312904,2020-12-11 16:09:50.400,24185.952
439.4668,1.4954617,83.28034,-0.35440326,33.43539,4.791848,-18.092207,2020-12-11 16:09:51.264,24186.816
439.94763,1.496809,83.01072,-0.3541112,33.38895,4.8284764,-18.34975,2020-12-11 16:09:51.264,24186.816
440.14072,1.4959818,82.94107,-0.3547907,33.332188,4.8661823,-18.35746,2020-12-11 16:09:51.264,24186.816
440.51227,1.4947611,82.58381,-0.35450011,33.29865,4.9006557,-18.342825,2020-12-11 16:09:52.128,24187.68
440.90204,1.4946313,83.15228,-0.3538221,33.267693,4.9383616,-18.342955,2020-12-11 16:09:52.128,24187.68
441.2627,1.4952298,84.50943,-0.35285354,33.236732,4.9739127,-18.501892,2020-12-11 16:09:52.128,24187.68
441.64883,1.4957036,82.60628,-0.35285354,33.205772,5.011618,-18.031784,2020-12-11 16:09:52.128,24187.68
442.00946,1.4947611,83.68031,-0.35140067,33.174816,5.046092,-18.523703,2020-12-11 16:09:52.992,24188.544
442.45752,1.4954617,84.077995,-0.35217404,33.1387,5.0837975,-18.551643,2020-12-11 16:09:52.992,24188.544
442.93472,1.4944811,83.50955,-0.35188496,33.11806,5.1193485,-18.065695,2020-12-11 16:09:52.992,24188.544
443.14236,1.4934249,83.52527,-0.3517866,33.09484,5.155977,-18.470243,2020-12-11 16:09:53.856,24189.408
443.503,1.4941031,83.88702,-0.35130233,33.069046,5.191528,-18.226868,2020-12-11 16:09:53.856,24189.408
443.8782,1.4953425,82.20859,-0.3524661,33.04841,5.228156,-18.511887,2020-12-11 16:09:53.856,24189.408
444.2498,1.4946842,83.54326,-0.3517866,33.03035,5.265862,-18.35111,2020-12-11 16:09:53.856,24189.408
444.625,1.4947611,83.09387,-0.3517866,32.996815,5.300336,-18.110289,2020-12-11 16:09:54.720,24190.272
445.07306,1.4953413,84.94082,-0.35198182,32.978756,5.3391185,-18.57448,2020-12-11 16:09:54.720,24190.272
445.5539,1.4957736,82.630974,-0.35217404,32.963276,5.3746696,-18.171125,2020-12-11 16:09:54.720,24190.272
445.74698,1.4947611,82.9186,-0.35149604,32.927162,5.4102206,-18.464325,2020-12-11 16:09:55.584,24191.136
446.12216,1.4952204,85.65084,-0.35236925,32.911686,5.4479265,-18.510805,2020-12-11 16:09:55.584,24191.136
446.49738,1.4959717,84.52962,-0.3527552,32.87041,5.486709,-18.248001,2020-12-11 16:09:55.584,24191.136
446.86896,1.4952298,83.358986,-0.3527552,32.857513,5.521183,-18.263428,2020-12-11 16:09:55.584,24191.136
447.24417,1.4958286,84.100464,-0.35004318,32.82656,5.5578113,-18.658712,2020-12-11 16:09:56.448,24192.0
447.69586,1.497861,84.158875,-0.3511086,32.795605,5.5944395,-18.589489,2020-12-11 16:09:56.448,24192.0
448.17307,1.4968188,84.06005,-0.35188496,32.77239,5.6321454,-18.343845,2020-12-11 16:09:56.448,24192.0
448.38434,1.4970545,83.94542,-0.35198182,32.72596,5.6676965,-18.316557,2020-12-11 16:09:57.312,24192.864
448.74133,1.4971823,84.224045,-0.3517866,32.702744,5.7043247,-18.289415,2020-12-11 16:09:57.312,24192.864
