geo,renewable,year,installed_capacity
chile,geothermal,1990,0
chile,geothermal,1995,0
chile,geothermal,2000,0
chile,geothermal,2001,0
chile,geothermal,2002,0
chile,geothermal,2003,0
chile,geothermal,2004,0
chile,geothermal,2005,0
chile,geothermal,2006,0
chile,geothermal,2007,0
chile,geothermal,2008,0
chile,geothermal,2009,0
chile,geothermal,2010,0
chile,geothermal,2011,0
chile,geothermal,2012,0
chile,geothermal,2013,0
chile,geothermal,2014,0
chile,geothermal,2015,0
chile,geothermal,2016,0
chile,geothermal,2017,24
chile,geothermal,2018,48
chile,geothermal,2019,39.7
china,geothermal,1990,29.3
china,geothermal,1995,26.3
china,geothermal,2000,21.7
china,geothermal,2001,21.7
china,geothermal,2002,21.7
china,geothermal,2003,21.7
china,geothermal,2004,21.7
china,geothermal,2005,21.7
china,geothermal,2006,21.7
china,geothermal,2007,21.7
china,geothermal,2008,24.8
china,geothermal,2009,24.8
china,geothermal,2010,24.1
china,geothermal,2011,26.2
china,geothermal,2012,26.2
china,geothermal,2013,26
china,geothermal,2014,25.95
china,geothermal,2015,25.75
china,geothermal,2016,25.75
china,geothermal,2017,25.75
china,geothermal,2018,25.75
china,geothermal,2019,25.75
costa_rica,geothermal,1990,0
costa_rica,geothermal,1995,55
costa_rica,geothermal,2000,145
costa_rica,geothermal,2001,145
costa_rica,geothermal,2002,144.7
costa_rica,geothermal,2003,162.7
costa_rica,geothermal,2004,165.7
costa_rica,geothermal,2005,165.7
costa_rica,geothermal,2006,165.7
costa_rica,geothermal,2007,165.7
costa_rica,geothermal,2008,165.7
costa_rica,geothermal,2009,165.7
costa_rica,geothermal,2010,165.7
costa_rica,geothermal,2011,217.5
costa_rica,geothermal,2012,217.5
costa_rica,geothermal,2013,217.5
costa_rica,geothermal,2014,217.5
costa_rica,geothermal,2015,217.36
costa_rica,geothermal,2016,206.86
costa_rica,geothermal,2017,206.86
costa_rica,geothermal,2018,206.86
costa_rica,geothermal,2019,261.86
croatia,geothermal,1990,0
