geo,material,year,production_reserve
australia,cobalt,1995,0.824
australia,cobalt,1996,0.942
australia,cobalt,1997,1.219
australia,cobalt,1998,1.269
australia,cobalt,1999,1.01034485
australia,cobalt,2000,3.59847998
australia,cobalt,2001,4.31193994
australia,cobalt,2002,4.854
australia,cobalt,2003,5.12
australia,cobalt,2004,4.55
australia,cobalt,2005,4.11
australia,cobalt,2006,5.05
australia,cobalt,2007,4.74
australia,cobalt,2008,4.79
australia,cobalt,2009,4.63
australia,cobalt,2010,3.85
australia,cobalt,2011,3.85
australia,cobalt,2012,5.88
australia,cobalt,2013,6.4
australia,cobalt,2014,6.20125586
australia,cobalt,2015,6.03
australia,cobalt,2016,5.47
australia,cobalt,2017,5.8
australia,cobalt,2018,4.9
australia,cobalt,2019,5.12090164
canada,cobalt,1995,5.339
canada,cobalt,1996,5.714
canada,cobalt,1997,5.709
canada,cobalt,1998,5.861
canada,cobalt,1999,5.323
canada,cobalt,2000,5.298
canada,cobalt,2001,5.326
canada,cobalt,2002,5.148
canada,cobalt,2003,4.327
canada,cobalt,2004,5.06
canada,cobalt,2005,5.767
canada,cobalt,2006,7.115
canada,cobalt,2007,8.692
canada,cobalt,2008,8.953
canada,cobalt,2009,3.919
canada,cobalt,2010,4.636
canada,cobalt,2011,6.836
canada,cobalt,2012,3.698
canada,cobalt,2013,4.005
canada,cobalt,2014,3.907
canada,cobalt,2015,4.339
canada,cobalt,2016,4.216
canada,cobalt,2017,3.704
canada,cobalt,2018,3.524
canada,cobalt,2019,3.336
cuba,cobalt,1995,1.591
cuba,cobalt,1996,2.011
cuba,cobalt,1997,2.358
cuba,cobalt,1998,2.665
cuba,cobalt,1999,2.537
cuba,cobalt,2000,2.852
cuba,cobalt,2001,3.425
cuba,cobalt,2002,3.442
cuba,cobalt,2003,3.274
cuba,cobalt,2004,3.554
cuba,cobalt,2005,4.798
cuba,cobalt,2006,5.602
cuba,cobalt,2007,4.54
cuba,cobalt,2008,4
cuba,cobalt,2009,4.6
cuba,cobalt,2010,4.8
cuba,cobalt,2011,5.1
cuba,cobalt,2012,4.7
cuba,cobalt,2013,4
cuba,cobalt,2014,3.7
cuba,cobalt,2015,4.3
cuba,cobalt,2016,5.1
cuba,cobalt,2017,5
cuba,cobalt,2018,4.49041933
cuba,cobalt,2019,4.68758678
dr_congo,cobalt,1995,1.67
dr_congo,cobalt,1996,2
dr_congo,cobalt,1997,3.5
dr_congo,cobalt,1998,5
dr_congo,cobalt,1999,7
dr_congo,cobalt,2000,11
dr_congo,cobalt,2001,12
dr_congo,cobalt,2002,14.6
dr_congo,cobalt,2003,14.8
dr_congo,cobalt,2004,20.2
dr_congo,cobalt,2005,24.5
dr_congo,cobalt,2006,27.1
dr_congo,cobalt,2007,25.4
dr_congo,cobalt,2008,42.461
dr_congo,cobalt,2009,56.103
dr_congo,cobalt,2010,84.005
dr_congo,cobalt,2011,99.475
dr_congo,cobalt,2012,86.433
dr_congo,cobalt,2013,76.572
dr_congo,cobalt,2014,76.47496094
dr_congo,cobalt,2015,84.40047656
dr_congo,cobalt,2016,69.03828906
dr_congo,cobalt,2017,90.31940625
dr_congo,cobalt,2018,109.4023
dr_congo,cobalt,2019,77.9637
madagascar,cobalt,2006,0
madagascar,cobalt,2007,0
madagascar,cobalt,2008,0
madagascar,cobalt,2009,0
madagascar,cobalt,2010,0.165
madagascar,cobalt,2011,0.5
madagascar,cobalt,2012,0.6
madagascar,cobalt,2013,2.4
madagascar,cobalt,2014,3.4
madagascar,cobalt,2015,4
madagascar,cobalt,2016,3.8
madagascar,cobalt,2017,3.40519481
madagascar,cobalt,2018,3.30939649
madagascar,cobalt,2019,3.36745607
morocco,cobalt,1995,0.537
morocco,cobalt,1996,0.565
morocco,cobalt,1997,0.714
morocco,cobalt,1998,0.287
morocco,cobalt,1999,0.863
morocco,cobalt,2000,0.967
morocco,cobalt,2001,1.242
morocco,cobalt,2002,1.453
morocco,cobalt,2003,1.391
morocco,cobalt,2004,1.6
morocco,cobalt,2005,1.6
morocco,cobalt,2006,2.6
morocco,cobalt,2007,1.8
morocco,cobalt,2008,1.7
morocco,cobalt,2009,2.61
morocco,cobalt,2010,3.11
morocco,cobalt,2011,2.16
morocco,cobalt,2012,2
morocco,cobalt,2013,2
morocco,cobalt,2014,2.15
morocco,cobalt,2015,2.25
morocco,cobalt,2016,2.7298689
morocco,cobalt,2017,2.52391528
morocco,cobalt,2018,2.1
morocco,cobalt,2019,2.1
new_caledonia,cobalt,1995,1.1
new_caledonia,cobalt,1996,1.1
new_caledonia,cobalt,1997,1
new_caledonia,cobalt,1998,1
new_caledonia,cobalt,1999,1.1
new_caledonia,cobalt,2000,1.2
new_caledonia,cobalt,2001,1.4
new_caledonia,cobalt,2002,2.78
new_caledonia,cobalt,2003,2.602
new_caledonia,cobalt,2004,2.726
new_caledonia,cobalt,2005,1.769
new_caledonia,cobalt,2006,1.629
new_caledonia,cobalt,2007,2.25
new_caledonia,cobalt,2008,2.11
new_caledonia,cobalt,2009,2
new_caledonia,cobalt,2010,2.85
new_caledonia,cobalt,2011,3.1
new_caledonia,cobalt,2012,2.67
new_caledonia,cobalt,2013,3.19
new_caledonia,cobalt,2014,4.04
new_caledonia,cobalt,2015,3.69
new_caledonia,cobalt,2016,3.39
new_caledonia,cobalt,2017,2.8
new_caledonia,cobalt,2018,1.661
new_caledonia,cobalt,2019,1.24
papua_new_guinea,cobalt,2008,0
papua_new_guinea,cobalt,2009,0
papua_new_guinea,cobalt,2010,0
papua_new_guinea,cobalt,2012,0.469
papua_new_guinea,cobalt,2013,1.013
papua_new_guinea,cobalt,2014,2.134
