full_name,tab_name
,Primary Energy Consumption
http://www.bp.com/statisticalreview,Primary Energy - Cons by fuel
,Primary Energy - Cons capita
Please use the contents or the tabs at the bottom to navigate between the tables.,Carbon Dioxide Emissions
,Oil - Proved reserves
Primary Energy: Consumption - Exajoules (from 1965),Oil - Proved reserves history
Primary Energy: Consumption by fuel type - Exajoules (2018-2019),Oil Production - Barrels
Primary Energy: Consumption per capita - Gigajoule per capita (from 1965),Oil Production - Tonnes
,Oil Production - Crude Conds
Carbon Dioxide Emissions (from 1965),Oil Production - NGLs
,Total Liquids - Consumption
Oil: Proved reserves,Oil Consumption - Barrels
Oil: Proved reserves - Barrels (from 1980),Oil Consumption - Tonnes
Oil: Production - Barrels (from 1965),Oil Consumption - EJ
Oil: Production - Tonnes (from 1965),Oil - Regional Consumption 
Oil: Crude oil and condensate production - Barrels (from 2000),Oil - Spot crude prices
Oil: Natural Gas Liquids production - Barrels (from 2000),Oil - Crude prices since 1861
Oil: Total liquids consumption - Barrels (from 1965),Oil - Refinery throughput
Oil: Consumption - Barrels (from 1965),Oil - Refining capacity
Oil: Consumption - Tonnes (from 1965),Oil - Regional refining margins
Oil: Consumption - Exajoules (from 1965),Oil - Trade movements
Oil: Regional consumption - by product - Barrels (from 1965),Oil - Inter-area movements 
Oil: Spot crude prices ,Oil - Trade 2018 - 2019
Oil: Crude prices since 1861,Gas - Proved reserves
Oil: Refinery throughput (from 1980),Gas - Proved reserves history 
Oil: Refining capacity (from 1965),Gas Production - Bcm
Oil: Regional refining margins (from 2000),Gas Production - Bcf
Oil: Trade movements (from 1980),Gas Production - EJ
Oil: Inter-area movements ,Gas Consumption - Bcm
Oil: Trade 2018 - 2019,Gas Consumption - Bcf
,Gas Consumption - EJ
Gas: Proved reserves,Gas - Prices 
Gas: Proved reserves - Bcm (from 1980),Gas - Inter-regional trade
Gas: Production - Bcm (from 1970),Gas - LNG imports
Gas: Production - Bcf (from 1970),Gas - LNG exports
Gas: Production - Exajoules (from 1970),Gas - Trade movts LNG
Gas: Consumption - Bcm (from 1965),Gas - Trade movts - pipeline
Gas: Consumption - Bcf (from 1965),Coal - Reserves
Gas: Consumption - Exajoules (from 1965),Coal Production - Tonnes
Gas: Prices ,Coal Production - EJ
Gas: Inter-regional trade,Coal Consumption - EJ
Gas: LNG imports,Coal - Prices
Gas: LNG exports,Coal - Trade movements
Gas: Trade movements LNG,Coal - Inter area movts
Gas: Trade movements pipeline,Nuclear Generation - TWh
,Nuclear Consumption - EJ
Coal: Reserves,Hydro Generation - TWh
Coal: Production - Tonnes (from 1981),Hydro Consumption - EJ
Coal: Production - Exajoules (from 1981),Renewables Consumption - EJ
Coal: Consumption - Exajoules (from 1965),Renewables Power - EJ
Coal: Prices,Renewables Power - Twh
Coal: Trade movements,Renewables Generation by source
Coal: Inter-area movements,Solar Generation - TWh
,Solar Consumption - EJ
Nuclear Energy - Generation - TWh (from 1965),Wind Generation -TWh
Nuclear Energy - Consumption - Exajoules (from 1965),Wind Consumption - EJ
,Geo Biomass Other - TWh
Hydroelectricity - Generation - TWh (from 1965),Geo Biomass Other - EJ
Hydroelectricity - Consumption - Exajoules (from 1965),Biofuels Production - Kboed
,Biofuels Production - PJ
Renewables - Consumption - Exajoules (from 1965),Biofuels Consumption - Kboed
Renewables - Renewable Power - Exajoules (from 1965),Biofuels Consumption - PJ
Renewables - Renewable Power - Twh (from 1965),Electricity Generation 
Renewables - Renewable Power generation - TWh (from 1965),Elec Gen by fuel
Renewables - Generation by source - TWh,Elec Gen from Oil
Renewables - Solar generation - TWh (from 1965),Elec Gen from Gas
Renewables - Solar consumption - Exajoules (from 1965),Elec Gen from Coal
Renewables - Wind generation - TWh (from 1965),Elec Gen from Other
Renewables - Wind consumption - Exajoules (from 1965),Cobalt Production-Reserves
"Renewables - Geothermal, Biomass and Other generation - TWh  (from 1965)",Lithium Production-Reserves
"Renewables - Geothermal, Biomass and Other - Exajoules (from 1965)",Graphite Production-Reserves
Renewables - Biofuels production - Kboe/d (from 1990),Rare Earth Production-Reserves
Renewables - Biofuels production - Petajoules (from 1990),Cobalt and Lithium - Prices
Renewables - Biofuels consumption - Kboe/d (from 1990),Geothermal Capacity
Renewables - Biofuels consumption - Petajoules (from 1990),Solar Capacity
,Wind Capacity
Electricity generation - TWh (from 1985),Approximate conversion factors
